币种,最小下单量
LEVER-USDT,1.00000000
LEVERBUSD,1.00000000
GLMBUSD,0.10000000
SSVBUSD,0.00100000
STGBUSD,0.10000000
STG-USDT,0.10000000
ARKBUSD,1.00000000
BETHBUSD,0.00010000
LOOMBUSD,1.00000000
SNMBUSD,1.00000000
AMBBUSD,1.00000000
LUNC-USDT,0.01000000
PHBBUSD,1.00000000
GASBUSD,0.10000000
NEBLBUSD,0.10000000
PROSBUSD,1.00000000
VIBBUSD,1.00000000
GMXBUSD,0.00100000
GMX-USDT,0.00100000
AGIXBUSD,1.00000000
NEBL-USDT,0.10000000
SNTBUSD,1.00000000
POLYXBUSD,0.10000000
POLYX-USDT,0.10000000
APT-USDT,0.01000000
APTBUSD,0.01000000
QKCBUSD,1.00000000
OSMO-USDT,0.01000000
OSMOBUSD,0.01000000
HFTBUSD,0.10000000
HFT-USDT,0.10000000
PHB-USDT,0.10000000
VITEBUSD,0.10000000
HOOK-USDT,0.10000000
HOOKBUSD,0.10000000
MAGICBUSD,0.10000000
MAGIC-USDT,0.10000000
HIFI-USDT,0.10000000
RPLBUSD,0.01000000
RPL-USDT,0.01000000
PROS-USDT,1.00000000
GFTBUSD,1.00000000
AGIX-USDT,1.00000000
GNS-USDT,0.01000000
SYN-USDT,0.10000000
VIB-USDT,1.00000000
SSV-USDT,0.00100000
LQTY-USDT,0.10000000
AMB-USDT,1.00000000
BETH-USDT,0.00010000
USTC-USDT,1.00000000
GAS-USDT,0.10000000
GLM-USDT,0.10000000
PROM-USDT,0.01000000
QKC-USDT,1.00000000
UFT-USDT,1.00000000
ID-USDT,1.00000000
ARB-USDT,0.10000000
LOOM-USDT,1.00000000
OAX-USDT,1.00000000
RDNT-USDT,1.00000000
WBTC-USDT,0.00001000
EDU-USDT,1.00000000
SUI-USDT,0.10000000
AERGO-USDT,1.00000000
PEPE-USDT,1.00
FLOKI-USDT,1.00
AST-USDT,1.00000000
SNT-USDT,1.00000000
COMBO-USDT,0.10000000
MAV-USDT,1.00000000
PENDLE-USDT,0.10000000
ARKM-USDT,0.10000000
WBETH-USDT,0.00010000
